product_user_id,account_id,email,role,plan_tier,signup_date,last_active_date,is_active
44,522,grace.lopez@optimaplatforms.com,admin,starter,2023-05-05,2025-02-28,True
45,277,olivia.miller@vanguarddigital.com,editor,starter,2022-10-17,2023-01-26,False
46,556,nate.davis@vertexanalytics.com,admin,free,2023-09-13,2025-02-15,True
47,876,tina.rivera@optimagroup.com,editor,starter,2025-01-29,2025-02-21,True
48,451,jack.adams@novadigital.com,editor,starter,2024-05-22,2025-01-30,True
49,627,hank.ingram@vanguardservices.com,admin,professional,2024-10-20,2025-02-16,True
50,694,,editor,starter,2023-07-05,2025-02-27,True
51,142,bob.baker@summitdigital.com,editor,starter,2024-07-01,2025-02-28,True
52,45,rosa.nguyen@quantumsoftware.com,editor,starter,2023-08-08,2025-02-04,True
53,845,mia.park@velocitycorp.com,editor,free,2022-09-05,2023-08-15,False
54,650,jack.clark@pinnacleinc.com,viewer,enterprise,2024-10-01,2025-02-01,True
55,370,quinn.kim@summitsoftware.com,viewer,starter,2024-12-25,2025-02-05,True
56,675,mia.ingram@summitanalytics.com,viewer,free,2023-06-19,2024-06-15,False
57,182,grace.miller@catalystsolutions.com,admin,professional,2023-12-12,2025-02-05,True
58,886,paul.taylor@summitsolutions.com,admin,professional,2021-08-28,2025-02-21,True
59,764,carol.baker@pinnaclecorp.com,editor,professional,2021-06-27,2025-02-18,True
60,731,alice.kim@horizonholdings.com,editor,professional,2025-02-23,2025-02-18,True
61,893,tina.ingram@atlasinc.com,editor,professional,2024-11-17,2025-02-09,True
62,113,jack.owens@acmeservices.com,editor,free,2025-01-10,2025-02-28,False
63,124,paul.quinn@vertexholdings.com,editor,free,2024-12-28,2025-02-18,True
64,956,rosa.nguyen@elevatetechnologies.com,viewer,free,2024-05-11,2024-07-31,False
65,175,uma.garcia@pinnaclesolutions.com,editor,free,2024-06-07,2024-09-19,False
66,7,karen.lopez@catalystplatforms.com,editor,starter,2023-12-05,2025-02-23,True
67,126,bob.baker@nexusnetworks.com,viewer,professional,2024-07-19,2025-02-09,True
68,762,olivia.garcia@nexusenterprises.com,viewer,free,2024-08-03,2025-02-14,True
69,501,frank.jones@vertexnetworks.com,editor,professional,2024-05-30,2025-02-07,True
70,99,grace.taylor@fusiondigital.com,admin,professional,2023-02-28,2025-02-03,True
71,131,frank.hall@pinnacleholdings.com,viewer,enterprise,2024-11-29,2025-02-25,True
72,447,uma.davis@apexsolutions.com,editor,starter,2023-10-12,2025-02-07,True
73,964,xander.owens@elevatenetworks.com,editor,enterprise,2023-07-14,2025-02-06,True
74,479,paul.davis@globalanalytics.com,editor,free,2024-05-13,2024-11-26,False
75,619,leo.rivera@summitanalytics.com,viewer,professional,2024-11-26,2025-02-03,True
76,730,frank.owens@fusioninc.com,admin,starter,2023-05-06,2024-02-22,False
77,329,karen.quinn@horizondigital.com,admin,professional,2024-05-22,2024-09-24,False
78,522,uma.baker@optimaplatforms.com,editor,starter,2022-09-19,2025-02-02,True
79,910,wendy.lopez@zenithsoftware.com,admin,starter,2021-03-30,2025-02-10,True
80,388,karen.baker@catalystanalytics.com,editor,enterprise,2024-12-16,2025-02-24,True
81,878,carol.foster@catalystsystems.com,editor,enterprise,2024-04-10,2025-02-04,True
82,639,ivy.hall@fusionsoftware.com,viewer,free,2023-03-07,2025-02-03,True
83,987,wendy.smith@horizondigital.com,admin,starter,2024-07-09,2025-02-13,True
84,928,paul.adams@novaholdings.com,viewer,enterprise,2022-11-06,2025-01-30,True
85,99,hank.kim@fusiondigital.com,admin,professional,2022-08-15,2025-02-23,True
86,457,grace.ingram@nexusenterprises.com,editor,starter,2021-08-04,2025-02-22,True
87,425,jack.owens@pinnaclepartners.com,viewer,starter,2025-01-23,2025-02-20,True
88,51,dan.taylor@zenithservices.com,editor,professional,2025-01-10,2025-02-13,True
89,464,dan.taylor@summitnetworks.com,admin,professional,2025-02-20,2025-02-02,True
90,796,paul.garcia@summitservices.com,admin,free,2022-06-23,2025-02-11,True
91,781,leo.davis@apexenterprises.com,viewer,starter,2023-04-17,2023-06-20,False
92,762,ivy.adams@nexusenterprises.com,editor,free,2023-11-25,2025-02-19,True
93,893,karen.quinn@atlasinc.com,admin,professional,2024-09-01,2025-02-28,False
94,14,ivy.rivera@pacificenterprises.com,editor,professional,2024-02-28,2025-02-27,True
95,340,alice.foster@velocitynetworks.com,viewer,starter,2023-06-03,2025-02-02,True
96,670,hank.evans@atlaspartners.com,viewer,starter,2022-09-19,2025-02-23,True
97,765,leo.baker@novasoftware.com,viewer,professional,2023-06-24,2025-02-27,True
98,830,quinn.evans@velocityholdings.com,editor,starter,2023-08-25,2025-02-19,True
99,751,,editor,free,2024-01-27,2025-02-26,True
100,751,carol.jones@novadigital.com,editor,free,2024-04-17,2025-02-28,False
101,356,carol.owens@novasoftware.com,admin,enterprise,2024-05-26,2025-02-20,True
102,989,uma.smith@nexusholdings.com,admin,professional,2025-01-19,2025-02-28,True
103,513,nate.park@novasoftware.com,viewer,enterprise,2023-06-23,2024-05-04,False
104,835,ivy.taylor@vanguardenterprises.com,admin,professional,2024-12-06,2025-02-18,True
105,2,carol.lopez@fusionnetworks.com,admin,professional,2023-05-12,2025-02-11,True
106,143,dan.smith@horizondynamics.com,editor,professional,2021-06-13,2025-02-15,True
107,503,olivia.owens@pacificplatforms.com,editor,professional,2023-03-20,2025-02-15,True
108,567,hank.taylor@pacificdynamics.com,admin,starter,2024-08-26,2024-09-28,False
109,430,vince.evans@atlasnetworks.com,editor,free,2025-02-20,2025-02-10,True
110,843,mia.davis@vertexholdings.com,editor,starter,2023-07-29,2025-01-29,True
111,727,olivia.garcia@acmeservices.com,admin,professional,2021-03-14,2025-02-15,True
112,750,quinn.owens@horizonservices.com,admin,professional,2025-02-20,2025-02-28,False
113,745,jack.ingram@vanguardsoftware.com,editor,free,2023-04-06,2023-07-10,False
114,361,hank.garcia@velocityinc.com,editor,starter,2023-08-03,2025-02-19,True
115,778,,viewer,professional,2023-09-08,2024-08-25,False
116,544,jack.baker@horizonplatforms.com,viewer,enterprise,2024-09-09,2025-02-21,True
117,763,xander.nguyen@quantumsoftware.com,editor,enterprise,2022-11-28,2023-10-08,False
118,866,ivy.clark@optimaenterprises.com,editor,enterprise,2023-01-05,2025-02-08,True
119,910,olivia.quinn@zenithsoftware.com,editor,starter,2021-07-06,2021-09-19,False
120,17,hank.garcia@pacificlabs.com,admin,professional,2024-08-24,2025-02-21,True
121,692,mia.miller@velocitypartners.com,editor,professional,2021-09-21,2021-12-01,False
122,337,uma.adams@optimaanalytics.com,editor,enterprise,2022-10-14,2025-01-29,True
123,624,alice.kim@globalenterprises.com,viewer,free,2024-02-06,2025-02-28,True
124,362,quinn.adams@pacificlabs.com,viewer,free,2025-01-22,2025-02-26,True
125,839,nate.miller@quantumsolutions.com,viewer,starter,2024-04-14,2025-02-24,True
126,861,dan.evans@nexusholdings.com,admin,starter,2024-12-30,2025-02-25,True
127,782,jack.baker@atlasenterprises.com,viewer,professional,2024-06-26,2025-02-01,True
128,292,wendy.baker@velocityanalytics.com,viewer,professional,2024-08-31,2025-01-29,True
129,228,ivy.davis@summitservices.com,viewer,professional,2023-06-19,2025-02-21,True
130,418,bob.owens@fusionsystems.com,viewer,starter,2024-02-17,2025-02-03,True
131,249,quinn.garcia@acmedigital.com,editor,free,2024-01-05,2025-02-20,True
132,603,quinn.davis@acmedigital.com,viewer,professional,2024-09-16,2025-02-04,True
133,810,bob.garcia@fusionpartners.com,editor,starter,2024-03-20,2025-02-03,True
134,185,jack.jones@synergysoftware.com,admin,starter,2024-07-15,2025-02-27,True
135,591,vince.owens@catalystcorp.com,viewer,free,2024-09-04,2024-11-15,False
136,319,xander.smith@acmepartners.com,viewer,starter,2025-01-25,2025-02-11,True
137,464,uma.taylor@summitnetworks.com,editor,professional,2025-02-07,2025-02-26,True
138,689,karen.clark@catalystpartners.com,viewer,free,2021-10-07,2022-05-17,False
139,664,nate.clark@zenithdynamics.com,viewer,professional,2023-02-09,2025-01-30,True
140,102,mia.baker@apexinc.com,editor,starter,2024-05-26,2025-02-06,True
141,456,uma.hall@vertexplatforms.com,editor,starter,2024-12-27,2025-02-22,True
142,794,leo.hall@pacificenterprises.com,viewer,enterprise,2024-07-15,2024-11-15,False
143,63,ivy.park@quantumdynamics.com,admin,starter,2024-04-25,2025-02-28,False
144,377,paul.jones@atlassystems.com,viewer,enterprise,2024-07-16,2025-02-13,True
145,815,olivia.park@quantumdynamics.com,admin,starter,2024-06-11,2025-01-31,True
146,575,alice.kim@acmeenterprises.com,admin,enterprise,2024-04-27,2025-02-13,True
147,715,leo.foster@globallabs.com,editor,free,2023-10-08,2024-01-01,False
148,248,hank.owens@horizondigital.com,viewer,starter,2024-09-03,2025-02-21,True
149,507,steve.park@elevatenetworks.com,editor,enterprise,2023-12-30,2025-02-22,True
150,330,vince.kim@vertexpartners.com,admin,professional,2023-11-15,2025-02-11,True
151,290,xander.garcia@vertexpartners.com,viewer,free,2024-06-27,2025-02-13,True
152,2,mia.evans@fusionnetworks.com,viewer,professional,2021-03-04,2025-01-30,True
153,706,vince.baker@elevatesoftware.com,editor,enterprise,2023-08-17,2025-02-13,True
154,92,steve.rivera@acmelabs.com,viewer,starter,2022-10-13,2025-02-13,True
155,957,alice.evans@acmenetworks.com,admin,free,2025-01-01,2025-02-28,False
156,576,bob.ingram@catalystsoftware.com,editor,starter,2023-07-21,2023-11-07,False
157,115,eve.kim@pacificinc.com,editor,professional,2023-11-15,2025-02-22,True
158,45,rosa.hall@quantumsoftware.com,admin,starter,2024-01-13,2024-06-21,False
159,714,karen.kim@globalenterprises.com,editor,starter,2024-04-02,2025-02-14,True
160,937,xander.ingram@zenithinc.com,viewer,free,2024-05-28,2025-02-07,True
161,140,leo.adams@velocityenterprises.com,editor,starter,2024-08-26,2025-01-29,True
162,24,jack.ingram@quantumsystems.com,viewer,enterprise,2025-02-15,2025-02-28,False
163,998,karen.quinn@synergysolutions.com,viewer,professional,2024-07-06,2025-02-02,True
164,799,mia.quinn@atlasplatforms.com,admin,starter,2022-05-14,2025-02-22,True
165,468,nate.ingram@vertexsolutions.com,viewer,enterprise,2024-05-13,2025-02-26,True
166,534,xander.owens@horizonlabs.com,viewer,professional,2023-11-09,2025-02-16,True
167,970,rosa.taylor@quantumnetworks.com,admin,professional,2024-05-03,2025-02-26,True
168,102,bob.smith@apexinc.com,viewer,starter,2024-05-31,2025-02-03,True
169,79,karen.evans@nexuslabs.com,viewer,starter,2024-11-08,2024-12-10,False
170,503,dan.nguyen@pacificplatforms.com,viewer,professional,2021-12-09,2022-06-06,False
171,237,,viewer,free,2024-08-01,2025-02-02,True
172,946,alice.davis@synergysystems.com,viewer,professional,2024-08-29,2025-02-28,True
173,116,nate.davis@catalystplatforms.com,viewer,free,2021-09-08,2022-01-10,False
174,699,paul.davis@vertexanalytics.com,editor,starter,2024-12-01,2025-02-16,True
175,1,,viewer,free,2020-11-21,2025-02-25,True
176,764,leo.foster@pinnaclecorp.com,editor,professional,2022-05-23,2022-06-02,False
177,962,tina.baker@velocityinc.com,editor,enterprise,2024-07-06,2024-12-17,False
178,75,hank.clark@acmesystems.com,editor,starter,2023-03-12,2024-01-24,False
179,709,quinn.jones@vanguardpartners.com,viewer,professional,2022-06-07,2025-02-26,True
180,859,ivy.adams@catalystinc.com,admin,starter,2023-11-26,2024-11-09,False
181,271,dan.rivera@globallabs.com,admin,starter,2021-09-18,2025-02-16,True
182,953,grace.quinn@pinnacledigital.com,editor,professional,2024-04-08,2024-09-04,False
183,44,wendy.jones@apexinc.com,editor,starter,2024-02-29,2025-01-29,True
184,916,wendy.miller@fusionsolutions.com,editor,enterprise,2024-06-26,2025-02-05,True
185,628,uma.park@velocitygroup.com,viewer,free,2022-10-13,2025-02-01,True
186,332,rosa.baker@apexlabs.com,admin,free,2025-02-24,2025-02-28,False
187,298,steve.jones@summittechnologies.com,editor,enterprise,2024-12-31,2025-02-20,True
188,200,wendy.park@summitpartners.com,viewer,professional,2024-05-11,2024-10-13,False
189,495,tina.lopez@nexussolutions.com,admin,starter,2024-11-03,2024-12-20,False
190,212,,editor,free,2024-07-12,2025-02-10,True
191,382,quinn.rivera@vanguardservices.com,admin,starter,2025-02-12,2025-02-28,False
192,762,carol.evans@nexusenterprises.com,editor,free,2024-05-14,2025-02-07,True
193,824,alice.quinn@atlassolutions.com,viewer,enterprise,2024-12-05,2025-02-04,True
194,531,frank.hall@atlasservices.com,viewer,professional,2024-07-12,2025-02-06,True
195,303,paul.taylor@vanguardenterprises.com,viewer,starter,2022-02-28,2025-02-06,True
196,85,paul.adams@acmesystems.com,viewer,starter,2024-03-13,2024-08-12,False
197,139,leo.quinn@zenithsystems.com,editor,professional,2025-01-29,2025-02-28,True
198,190,rosa.park@pinnacledigital.com,viewer,enterprise,2021-06-23,2025-02-15,True
199,481,jack.owens@fusioncorp.com,viewer,starter,2024-02-13,2025-01-29,True
200,708,karen.davis@apexcorp.com,viewer,starter,2023-07-19,2024-05-30,False
201,362,paul.clark@pacificlabs.com,viewer,free,2024-05-13,2025-02-20,True
202,617,hank.miller@quantuminc.com,viewer,professional,2024-12-08,2025-02-28,False
203,508,bob.clark@atlassoftware.com,editor,professional,2024-04-26,2025-02-28,True
204,949,mia.baker@optimasoftware.com,viewer,professional,2021-06-23,2022-04-26,False
205,421,tina.davis@fusioninc.com,viewer,starter,2022-03-02,2025-02-08,True
206,412,olivia.owens@elevateanalytics.com,editor,professional,2024-10-23,2025-02-06,True
207,628,karen.lopez@velocitygroup.com,editor,free,2023-07-24,2025-02-28,True
208,574,paul.quinn@zenithsoftware.com,editor,enterprise,2024-07-28,2025-02-17,True
209,158,grace.baker@pinnacleholdings.com,editor,professional,2021-10-20,2025-02-07,True
210,29,vince.baker@optimaplatforms.com,admin,professional,2025-01-17,2025-02-19,True
211,345,dan.quinn@novaanalytics.com,viewer,professional,2024-07-08,2025-02-16,True
212,596,eve.ingram@fusionsolutions.com,editor,professional,2023-12-29,2025-02-20,True
213,261,vince.taylor@summitpartners.com,admin,professional,2024-11-12,2025-02-28,False
214,712,quinn.hall@vertexsolutions.com,admin,free,2022-10-01,2025-02-12,True
215,603,wendy.park@acmedigital.com,editor,professional,2024-02-10,2024-03-18,False
216,740,eve.owens@quantumnetworks.com,viewer,professional,2023-03-20,2024-03-10,False
217,186,hank.ingram@acmeinc.com,editor,enterprise,2023-11-25,2025-02-17,True
218,172,leo.jones@acmenetworks.com,viewer,professional,2022-10-27,2025-02-13,True
219,971,frank.garcia@novaenterprises.com,editor,enterprise,2023-09-26,2024-05-20,False
220,39,carol.park@acmesoftware.com,viewer,professional,2025-02-18,2025-02-21,True
221,3,nate.kim@synergysolutions.com,admin,professional,2021-08-01,2022-01-14,False
222,76,mia.garcia@optimasolutions.com,viewer,starter,2025-02-24,2025-02-24,True
223,398,tina.jones@velocitydynamics.com,editor,starter,2024-09-09,2024-12-12,False
224,790,carol.lopez@novapartners.com,viewer,professional,2024-11-26,2025-02-20,True
225,93,eve.ingram@fusionholdings.com,viewer,free,2023-11-22,2025-01-29,True
226,858,uma.taylor@quantumtechnologies.com,viewer,professional,2024-03-18,2025-02-05,True
227,362,tina.hall@pacificlabs.com,admin,free,2025-02-20,2025-02-27,True
228,824,carol.nguyen@atlassolutions.com,viewer,enterprise,2024-12-25,2025-02-14,True
229,710,xander.adams@quantumenterprises.com,editor,starter,2025-01-22,2025-02-28,False
230,684,quinn.foster@synergysolutions.com,viewer,enterprise,2024-02-24,2025-02-21,True
231,39,tina.foster@acmesoftware.com,viewer,professional,2024-07-19,2025-02-04,True
232,766,grace.evans@velocityservices.com,admin,professional,2023-10-16,2025-02-01,True
233,936,carol.jones@summitenterprises.com,viewer,professional,2023-11-10,2025-02-17,True
234,927,steve.davis@apexservices.com,editor,enterprise,2023-12-05,2025-02-10,True
235,536,hank.clark@horizonsolutions.com,editor,enterprise,2024-03-14,2025-02-14,True
236,398,olivia.nguyen@velocitydynamics.com,admin,starter,2025-02-05,2025-02-28,False
237,641,vince.ingram@quantumdynamics.com,viewer,free,2024-12-25,2025-01-29,True
238,536,frank.quinn@horizonsolutions.com,admin,enterprise,2023-12-08,2025-02-11,True
239,194,tina.miller@vanguardservices.com,viewer,professional,2024-10-18,2025-02-24,True
240,398,paul.rivera@velocitydynamics.com,viewer,starter,2024-12-28,2025-02-26,True
241,569,,editor,professional,2024-11-20,2025-02-11,True
242,470,ivy.smith@acmenetworks.com,viewer,professional,2023-09-06,2024-02-24,False
243,875,wendy.foster@apexpartners.com,viewer,professional,2023-05-05,2025-02-05,True
244,726,mia.smith@zenithdynamics.com,viewer,starter,2022-11-18,2025-02-01,True
245,182,,editor,professional,2024-11-02,2025-02-26,True
246,126,carol.foster@nexusnetworks.com,viewer,professional,2024-11-22,2025-02-01,True
247,832,grace.quinn@fusionenterprises.com,editor,enterprise,2024-08-18,2025-02-20,True
248,842,eve.jones@velocitypartners.com,viewer,starter,2021-03-17,2025-02-06,True
249,297,uma.clark@horizongroup.com,viewer,starter,2024-10-04,2025-02-02,True
250,725,vince.kim@elevateenterprises.com,admin,professional,2024-02-11,2025-02-23,True
251,607,eve.davis@horizonlabs.com,editor,professional,2025-01-04,2025-02-28,False
252,282,nate.owens@globalnetworks.com,editor,starter,2024-10-09,2025-01-31,True
253,315,dan.taylor@vanguardplatforms.com,admin,professional,2020-06-09,2025-02-14,True
254,368,frank.foster@zenithdynamics.com,admin,starter,2025-02-25,2025-02-22,True
255,715,olivia.baker@globallabs.com,editor,free,2023-12-12,2025-01-31,True
256,861,karen.evans@nexusholdings.com,viewer,starter,2025-01-22,2025-02-10,True
257,911,jack.owens@synergysolutions.com,editor,professional,2024-12-19,2025-01-30,True
258,633,jack.baker@acmecorp.com,editor,starter,2024-06-22,2025-02-28,True
259,778,eve.lopez@apexdigital.com,viewer,professional,2022-10-26,2025-02-27,True
260,4,olivia.rivera@vanguardplatforms.com,admin,starter,2025-01-31,2025-02-28,False
261,277,vince.jones@vanguarddigital.com,editor,starter,2022-04-29,2025-02-15,True
262,319,paul.evans@acmepartners.com,editor,starter,2025-01-15,2025-02-28,False
263,812,paul.hall@nexusdynamics.com,viewer,enterprise,2024-11-28,2025-02-01,True
264,43,hank.clark@velocitycorp.com,viewer,starter,2024-10-20,2025-02-03,True
265,725,nate.evans@elevateenterprises.com,admin,professional,2022-03-10,2025-02-05,True
266,747,,viewer,starter,2024-06-25,2025-02-19,True
267,422,frank.rivera@catalystsoftware.com,admin,starter,2023-10-20,2024-09-17,False
268,292,quinn.clark@velocityanalytics.com,editor,professional,2024-12-19,2025-02-28,False
269,945,mia.rivera@apexcorp.com,editor,starter,2024-07-18,2025-02-12,True
270,51,eve.quinn@zenithservices.com,editor,professional,2024-11-03,2025-02-08,True
271,757,rosa.rivera@acmeanalytics.com,editor,professional,2024-06-20,2025-02-20,True
272,137,vince.adams@catalystholdings.com,editor,starter,2023-07-15,2025-02-04,True
273,283,steve.owens@globalanalytics.com,editor,enterprise,2022-10-03,2023-05-02,False
274,161,ivy.smith@acmeholdings.com,admin,professional,2024-05-26,2025-02-07,True
275,768,carol.kim@pacificholdings.com,viewer,enterprise,2024-12-01,2025-02-27,True
276,713,ivy.owens@horizonholdings.com,editor,starter,2021-12-01,2025-02-02,True
277,599,eve.foster@synergysolutions.com,editor,starter,2024-12-30,2025-02-24,False
278,792,dan.hall@elevateservices.com,editor,starter,2024-11-09,2025-02-28,False
279,299,ivy.jones@catalystsolutions.com,editor,enterprise,2024-01-26,2024-09-25,False
280,155,bob.jones@horizondynamics.com,viewer,starter,2023-04-27,2023-09-02,False
281,427,tina.adams@atlaslabs.com,editor,enterprise,2024-11-22,2025-02-24,True
282,144,xander.hall@apexholdings.com,viewer,starter,2024-05-22,2025-02-09,True
283,948,bob.miller@globalplatforms.com,editor,enterprise,2024-10-25,2025-01-30,True
284,569,nate.adams@pinnaclegroup.com,editor,professional,2024-09-16,2025-02-13,True
285,698,uma.adams@novadigital.com,editor,enterprise,2025-02-07,2025-02-04,True
286,495,vince.davis@nexussolutions.com,viewer,starter,2024-03-01,2025-02-19,True
287,801,tina.davis@apexdynamics.com,editor,starter,2022-12-29,2025-02-09,True
288,768,uma.smith@pacificholdings.com,viewer,enterprise,2024-04-14,2025-01-06,False
289,921,karen.nguyen@pacificholdings.com,viewer,starter,2024-10-09,2025-02-19,True
290,879,frank.kim@synergycorp.com,editor,free,2022-11-11,2025-02-18,True
291,664,xander.quinn@zenithdynamics.com,admin,professional,2024-03-31,2025-02-28,True
292,840,ivy.taylor@nexusinc.com,editor,professional,2023-06-12,2024-05-29,False
293,569,alice.taylor@pinnaclegroup.com,viewer,professional,2024-10-16,2025-02-22,True
294,704,mia.jones@quantumpartners.com,editor,professional,2023-10-05,2025-02-20,True
295,757,nate.miller@acmeanalytics.com,viewer,professional,2024-11-07,2025-02-28,False
296,493,rosa.park@optimaservices.com,viewer,professional,2025-02-10,2025-02-16,True
297,461,grace.lopez@atlassoftware.com,viewer,starter,2023-04-05,2025-02-23,True
298,690,dan.nguyen@synergytechnologies.com,viewer,professional,2023-01-22,2023-04-20,False
299,809,frank.ingram@nexusnetworks.com,editor,starter,2023-11-26,2023-12-14,False
300,864,nate.evans@summitdigital.com,editor,free,2025-02-01,2025-02-28,False
301,378,carol.kim@vanguardnetworks.com,viewer,enterprise,2020-05-08,2025-02-20,True
302,940,eve.garcia@atlasgroup.com,viewer,starter,2024-01-17,2024-04-09,False
303,172,frank.kim@acmenetworks.com,viewer,professional,2023-07-10,2025-02-28,True
304,281,hank.adams@horizonsystems.com,editor,starter,2025-01-26,2025-02-16,True
305,344,dan.kim@optimacorp.com,admin,free,2022-10-23,2025-02-09,True
306,613,,admin,starter,2024-07-25,2025-02-18,True
307,922,mia.foster@vanguardservices.com,editor,free,2024-08-15,2025-02-24,True
308,644,olivia.jones@vertexsoftware.com,viewer,professional,2024-03-16,2025-01-30,True
309,345,steve.adams@novaanalytics.com,viewer,professional,2024-05-27,2025-02-17,True
310,414,mia.smith@velocitysystems.com,editor,enterprise,2023-07-27,2025-02-03,True
311,897,ivy.taylor@novaplatforms.com,viewer,free,2024-06-04,2025-02-10,True
312,448,paul.clark@quantumgroup.com,editor,enterprise,2024-04-15,2025-02-16,True
313,495,leo.park@nexussolutions.com,viewer,starter,2024-07-07,2025-02-24,True
314,935,hank.lopez@summitinc.com,viewer,professional,2023-02-22,2025-02-15,True
315,752,wendy.baker@optimatechnologies.com,editor,starter,2025-01-22,2025-02-28,False
316,278,dan.ingram@vanguardtechnologies.com,editor,free,2024-06-03,2025-02-18,True
317,470,nate.quinn@acmenetworks.com,viewer,professional,2024-06-13,2025-02-12,True
318,50,jack.kim@fusiontechnologies.com,admin,professional,2023-09-08,2023-11-03,False
319,889,hank.garcia@summittechnologies.com,admin,enterprise,2024-04-22,2025-02-28,False
320,987,quinn.lopez@horizondigital.com,editor,starter,2023-10-04,2025-02-21,True
321,612,tina.quinn@optimagroup.com,editor,professional,2024-06-25,2025-02-11,True
322,624,vince.owens@globalenterprises.com,editor,free,2024-10-20,2025-02-15,True
323,207,carol.foster@pinnaclenetworks.com,viewer,professional,2023-02-18,2025-02-14,True
324,96,karen.smith@atlastechnologies.com,admin,professional,2024-09-10,2025-02-07,True
325,348,bob.rivera@vanguardsolutions.com,admin,free,2025-01-01,2025-02-08,True
326,718,vince.clark@vertexnetworks.com,viewer,professional,2025-01-06,2025-02-15,True
327,681,grace.garcia@pacificsystems.com,editor,free,2021-08-23,2022-04-17,False
328,987,hank.miller@horizondigital.com,admin,starter,2024-08-02,2025-02-15,True
329,445,jack.davis@fusionenterprises.com,viewer,enterprise,2025-02-11,2025-02-15,True
330,206,nate.ingram@synergydigital.com,editor,professional,2022-07-03,2025-02-14,True
331,620,vince.owens@horizonlabs.com,editor,free,2024-10-30,2025-02-28,False
332,36,mia.kim@apexsolutions.com,viewer,free,2024-06-13,2025-02-17,True
333,979,mia.davis@optimaenterprises.com,editor,starter,2025-01-11,2025-02-28,False
334,341,ivy.ingram@elevatedigital.com,editor,professional,2022-05-07,2025-02-19,True
